iid1	iid2	max_ibd	sum_ibd_8	n_ibd_8	sum_ibd_12	n_ibd_12	sum_ibd_16	n_ibd_16	sum_ibd_20	n_ibd_20	frac_gp1	frac_gp2
KFJ020	KFJ043	174.44789999999998	3063.3991107315924	32	3044.8167189927008	30	3029.4550284714605	29	3012.4106273026373	28	0.6489601856405988	0.8834575561524977
RKF064	RKF147	180.88039	3061.520402819004	47	3028.3506087363626	44	3015.496712118473	43	2996.1875132621194	42	0.6012006103943601	0.8881237940297378
RKC033	RKC036	174.4863	3057.030519230791	42	3045.705219490954	41	3045.705219490954	41	3029.677113278338	40	0.5941381963098886	0.7723002030444049
RKC027	RKC010	182.6212	3052.5657979776493	42	3036.2319914629097	40	3009.503292025196	38	2973.246087611782	36	0.6432219741969657	0.901882890040735
RKF081	RKF061	180.90069	3049.2058700113143	39	3049.2058700113143	39	3035.4703670530166	38	3001.793966333733	36	0.6682304869282282	0.7619840338995876
KFJ020	KFJ045	199.41599	3042.8833635092737	39	3031.350163509273	38	3000.355662456989	36	2980.788661591053	35	0.6489601856405988	0.8985156318968888
KFJ020	KFJ022	283.19101	3033.396496386673	43	3003.114100308563	40	2974.6865013286133	38	2935.327503983643	36	0.6489601856405988	0.9113036459712712
KFJ020	KFJ007	234.41541	3027.7698744369504	34	3027.7698744369504	34	3027.7698744369504	34	3009.484671456909	33	0.6489601856405988	0.8694336196133329
RKF190	RKF198	283.36291	3024.2215267878955	32	3012.927826450485	31	2986.703725860733	29	2986.703725860733	29	0.6623535494936501	0.872283808154566
KFJ020	KFJ017	179.5617	3019.6440299051624	45	3011.5865190523486	44	2954.120716946636	40	2936.741713183437	39	0.6489601856405988	0.8991462045830023
RKF040	RKF032	168.2101130485535	2992.6728853352506	48	2982.9036840565645	47	2937.569482005402	44	2881.488699591919	41	0.6047065945291513	0.8903181869774129
RKF211	RKF160	268.781	2990.225673040001	46	2990.225673040001	46	2950.160077532379	43	2930.383673628418	42	0.6366892411688295	0.8971157605337167
RKC033	RKC038	193.1147	2964.1821481731417	48	2945.309159949112	46	2877.431871786404	41	2809.3509696867945	37	0.5941381963098886	0.914607846846506
HNJ016	HNJ015	203.63512	2953.637958986088	50	2944.3020596330607	49	2900.1543655221903	46	2862.0046627926067	44	0.5541598880102909	0.8581715914393452
HNJ016	HNJ026	197.7959	2940.05349272554	55	2930.338591278244	54	2869.8428870803377	50	2852.088588631775	49	0.5541598880102909	0.8908730909411928
KFJ020	KFJ040	166.0872	2936.4779272798155	34	2925.605825496063	33	2925.605825496063	33	2925.605825496063	33	0.6489601856405988	0.8897002257450216
RKC033	RKC030	180.79649	2932.723047053207	53	2923.760850941528	52	2881.6164516607896	49	2828.590851346649	46	0.5941381963098886	0.7986707527776726
HNJ016	HNJ011	186.01069450378412	2914.6124057715265	43	2894.266998047146	41	2850.21179435223	38	2850.21179435223	38	0.5541598880102909	0.678660159156546
RKC033	RKC031	151.6595959663391	2905.1333123586887	59	2881.97741450293	57	2781.643909813523	50	2745.50450503981	48	0.5941381963098886	0.913119695307278
HNJ016	HNJ014	178.6857008934021	2902.807109320312	46	2841.7862051374973	40	2829.076004887348	39	2810.0840100295604	38	0.5541598880102909	0.7933991651217636
