iid1	iid2	max_IBD	sum_IBD>8	n_IBD>8	sum_IBD>12	n_IBD>12	sum_IBD>16	n_IBD>16	sum_IBD>20	n_IBD>20
RKF036	RKC039	25.91620683670044	38.36710751056671	2	38.36710751056671	2	25.91620683670044	1	25.91620683670044	1
RKF064	RKF053	28.11839580535888	38.29319477081298	2	28.11839580535888	1	28.11839580535888	1	28.11839580535888	1
RKF182	RKF192	24.88760948181152	38.29081058502197	2	38.29081058502197	2	24.88760948181152	1	24.88760948181152	1
RKF136	RKF117	20.47620415687561	38.13710361719131	2	38.13710361719131	2	38.13710361719131	2	20.47620415687561	1
RKF036	RKC047	25.91170072555542	38.10089826583862	2	38.10089826583862	2	25.91170072555542	1	25.91170072555542	1
RKF191	RKF046	14.66589868068695	38.085600733757005	3	27.75309979915618	2	0	0	0	0
RKF163	RKC016	38.05559873580932	38.05559873580932	1	38.05559873580932	1	38.05559873580932	1	38.05559873580932	1
RKF201	RKF195	38.00299763679504	38.00299763679504	1	38.00299763679504	1	38.00299763679504	1	38.00299763679504	1
RKF040	RKC007	29.715704917907708	37.91900873184203	2	29.715704917907708	1	29.715704917907708	1	29.715704917907708	1
RKF218	RKC039	23.09449911117553	37.90069818496703	2	37.90069818496703	2	23.09449911117553	1	23.09449911117553	1
RKF158	RKF013	15.76590090990066	37.65639886260031	3	15.76590090990066	1	0	0	0	0
RKF191	RKF032	14.70820009708404	37.60170340538023	3	27.76670157909392	2	0	0	0	0
RKF029	RKC017	24.27248954772949	37.588894367218	2	37.588894367218	2	24.27248954772949	1	24.27248954772949	1
RKF007	RKC002	23.69699776172638	37.44679689407348	2	37.44679689407348	2	23.69699776172638	1	23.69699776172638	1
RKF154	RKF201	37.4069020152092	37.4069020152092	1	37.4069020152092	1	37.4069020152092	1	37.4069020152092	1
RKF089	RKC016	19.49950456619262	37.315201759338365	2	37.315201759338365	2	37.315201759338365	2	0	0
RKF198	RKC039	23.04639816284179	37.19069957733153	2	37.19069957733153	2	23.04639816284179	1	23.04639816284179	1
RKF118	RKF210	19.92819905281067	37.18269467353821	2	37.18269467353821	2	37.18269467353821	2	0	0
RKF145	RKF194	15.79509973526001	37.10109591484069	3	15.79509973526001	1	0	0	0	0
RKF034	RKC031	24.61640238761901	37.05180287361144	2	37.05180287361144	2	24.61640238761901	1	24.61640238761901	1
RKF064	RKF196	26.631104946136468	36.80550456047057	2	26.631104946136468	1	26.631104946136468	1	26.631104946136468	1
RKF064	RKF124	26.85940265655517	36.60899996757506	2	26.85940265655517	1	26.85940265655517	1	26.85940265655517	1
RKF226	RKF194	26.87729895114898	36.59310042858123	2	26.87729895114898	1	26.87729895114898	1	26.87729895114898	1
RKF148	RKF194	27.013099193573	36.48819923400879	2	27.013099193573	1	27.013099193573	1	27.013099193573	1
RKF231	RKF002	17.34049916267395	36.48599982261657	3	17.34049916267395	1	17.34049916267395	1	0	0
KUP026	KUP027	16.05329513549804	36.45730018615721	3	16.05329513549804	1	16.05329513549804	1	0	0
RKF042	RKC052	26.110804080963128	36.38320360332727	2	26.110804080963128	1	26.110804080963128	1	26.110804080963128	1
KFJ049	KFJ013	17.008209228515618	36.37491613626478	3	17.008209228515618	1	17.008209228515618	1	0	0
RKF021	RKC040	19.37629878520965	36.19270026683806	2	36.19270026683806	2	36.19270026683806	2	0	0
KUP024	KUP027	12.72180080413818	36.153206974267945	3	12.72180080413818	1	0	0	0	0
KUP024	KFJ036	18.54650974273681	36.02901101112365	2	36.02901101112365	2	36.02901101112365	2	0	0
RKF080	RKF181	36.02050095796585	36.02050095796585	1	36.02050095796585	1	36.02050095796585	1	36.02050095796585	1
RKF036	RKF020	15.501600503921509	35.87918877601623	3	15.501600503921509	1	0	0	0	0
RKO012	RKF051	22.36229181289672	35.826888680458055	2	35.826888680458055	2	22.36229181289672	1	22.36229181289672	1
KFJ039	KUP001	16.79739952087402	35.80538928508757	3	16.79739952087402	1	16.79739952087402	1	0	0
RKF058	RKF010	24.4823008775711	35.64229905605315	2	24.4823008775711	1	24.4823008775711	1	24.4823008775711	1
RKF034	RKC007	35.61799526214599	35.61799526214599	1	35.61799526214599	1	35.61799526214599	1	35.61799526214599	1
